keyword,emotion
show,Happy
horses,Happy
people,Happy
trusting,Happy
relaxed,Happy
because,Happy
quiet,Happy
handled,Happy
frequently,Happy
only,Happy
couple,Happy
left,Happy
start,Happy
december,Happy
done,Happy
smug,Happy
realize,Happy
everything,Happy
ok,Happy
worthless,Sad
during,Sad
those,Sad
times,Sad
struggling,Sad
work,Sad
will,Fearful
able,Fearful
lay,Fearful
bed,Fearful
dark,Fearful
not,Fearful
terrified,Fearful
least,Fearful
while,Fearful
ready,Happy
meet,Happy
airport,Happy
supportive,Happy
arms,Happy
bitter,Angry
today,Angry
mood,Angry
strange,Angry
entire,Angry
guess,Angry
its,Angry
mums,Sad
brother,Sad
passed,Sad
away,Sad
after,Sad
having,Sad
involved,Sad
car,Sad
accident,Sad
bringing,Sad
present,Sad
form,Sad
five,Sad
exams,Sad
flying,Sad
colours,Sad
letting,Angry
go,Angry
animosity,Angry
towards,Angry
wronged,Angry
dogs,Happy
cannot,Happy
understand,Happy
read,Happy
emotions,Happy
decided,Happy
should,Happy
throwing,Sad
shitty,Sad
shit,Sad
paper,Sad
starting,Happy
wryly,Happy
banal,Happy
comedy,Happy
errors,Happy
turning,Happy
into,Happy
every,Happy
body,Happy
vital,Happy
bodies,Happy
hear,Sad
owners,Sad
victimized,Sad
by,Sad
associations,Sad
attorneys,Sad
property,Sad
manager,Sad
say,Angry
goodbye,Angry
fam,Angry
theyre,Angry
sad,Angry
crying,Angry
heartless,Angry
bitch,Angry
hey,Angry
excited,Angry
flying,Angry
first,Angry
also,Angry
spend,Angry
another,Angry
country,Angry
wont,Happy
cry,Happy
out,Happy
lily,Happy
going,Happy
opportunities,Happy
lasted,Happy
those,Happy
short,Happy
few,Happy
months,Happy
alba,Happy
fitting,Happy
again,Happy
like,Happy
ton,Happy
catching,Happy
back,Happy
word,Happy
helps,Happy
hard,Sad
works,Sad
obtain,Sad
such,Sad
high,Sad
technical,Sad
skill,Sad
wushu,Sad
kinda,Sad
ashamed,Sad
somehow,Sad
motivated,Sad
saw,Sad
kids,Sad
performances,Sad
whole,Sad
heartedly,Sad
despite,Sad
tiredness,Sad
getting,Happy
overwhelming,Happy
spritz,Happy
toner,Happy
really,Happy
calm,Happy
soothe,Happy
such,Happy
effort,Happy
required,Happy
person,Happy
better,Happy
themselves,Happy
situation,Happy
whether,Happy
family,Happy
member,Happy
college,Happy
high,Happy
school,Happy
friend,Happy
neighbor,Happy
down,Happy
street,Happy
even,Happy
complete,Happy
stranger,Happy
today,Happy
put,Happy
tree,Happy
soon,Happy
ve,Happy
finished,Happy
week,Happy
goings,Happy
ons,Happy
coronation,Happy
finding,Happy
ill,Happy
seriously,Happy
alright,Sad
class,Sad
combination,Sad
unsuccessful,Sad
man,Sad
handled,Sad
stress,Sad
late,Sad
horrible,Sad
week,Sad
resulted,Sad
almost,Sad
crying,Sad
finished,Sad
grappling,Sad
rarely,Happy
advances,Happy
any,Happy
cause,Happy
always,Happy
stick,Happy
rule,Happy
posting,Happy
online,Happy
wouldnt,Happy
prepared,Happy
say,Happy
somebodys,Happy
face,Happy
useful,Happy
pains,Happy
becoming,Happy
group,Happy
idea,Happy
pain,Happy
ugly,Sad
more,Sad
inclined,Sad
wear,Sad
ratty,Sad
jeans,Sad
sweatshirt,Sad
than,Sad
beautiful,Sad
dress,Sad
though,Sad
might,Sad
pair,Sad
heels,Sad
house,Sad
boost,Sad
self,Sad
esteem,Sad
ever,Sad
slightly,Sad
definitely,Sad
won,Sad
bother,Sad
buy,Sad
homesick,Sad
yet,Sad
dance,Happy
pretty,Happy
workout,Happy
morning,Happy
before,Happy
fabulous,Happy
all,Sad
eyes,Sad
touch,Sad
words,Sad
assuredly,Sad
return,Sad
shall,Sad
vain,Sad
until,Happy
friday,Happy
these,Happy
awful,Happy
cramps,Happy
work,Happy
honoured,Happy
call,Happy
friends,Happy
brotherhood,Happy
begun,Fearful
apprehensive,Fearful
when,Fearful
thick,Fearful
black,Fearful
rain,Fearful
clouds,Fearful
stormed,Fearful
sky,Fearful
above,Fearful
town,Fearful
stated,Fearful
reason,Fearful
fearful,Fearful
because,Fearful
unsafe,Fearful
didn,Fearful
t,Fearful
getting,Fearful
shaken,Fearful
down,Fearful
tsa,Fearful
quite,Fearful
yet,Fearful
pulled,Fearful
off,Fearful
side,Fearful
creative,Fearful
croissants,Fearful
lunch,Fearful
groups,Sad
awkward,Sad
overcompensate,Sad
talkative,Sad
getting,Sad
quiet,Sad
finally,Happy
companion,Happy
especially,Happy
lonely,Happy
never,Happy
disappoint,Happy
his,Happy
loved,Happy
blog,Happy
img,Happy
src,Happy
http,Happy
eager,Happy
quilting,Happy
horny,Happy
ask,Happy
lets,Happy
think,Fearful
if,Fearful
poem,Fearful
doesn,Fearful
pressure,Fearful
don,Fearful
uncomfortable,Fearful
sense,Fearful
more,Fearful
than,Fearful
can,Fearful
understanding,Fearful
understand,Fearful
loving,Fearful
love,Fearful
too,Excited
as,Excited
if,Excited
stranger,Excited
strange,Excited
land,Excited
raising,Excited
son,Excited
place,Excited
not,Excited
father,Excited
s,Excited
ancestral,Excited
home,Excited
shower,Happy
questioning,Happy
fantastic,Happy
confident,Happy
movement,Happy
effortlessly,Happy
energetic,Happy
bouncy,Happy
gym,Happy
run,Happy
outside,Happy
kids,Happy
take,Happy
pram,Happy
long,Happy
walk,Happy
often,Happy
three,Happy
day,Happy
strong,Happy
didn,Happy
burst,Happy
tears,Happy
other,Happy
devastating,Happy
release,Happy
thoughts,Happy
seemed,Happy
rich,Happy
through,Happy
space,Happy
without,Happy
dumping,Happy
wanted,Angry
get,Angry
pumpkin,Angry
spice,Angry
latte,Angry
last,Angry
thing,Angry
coffee,Angry
maybe,Angry
suppose,Fearful
feels,Fearful
badly,Fearful
pain,Fearful
over,Fearful
last,Fearful
months,Fearful
shes,Fearful
hyperchondria,Fearful
exaggeration,Fearful
habit,Fearful
past,Fearful
though,Fearful
never,Fearful
openly,Fearful
questioned,Fearful
clench,Happy
bed,Happy
assured,Happy
grateful,Angry
life,Angry
amazing,Angry
things,Angry
called,Happy
god,Happy
d,Happy
seen,Happy
figured,Happy
right,Happy
name,Happy
utterly,Happy
affirmed,Happy
question,Happy
don,Angry
t,Angry
why,Angry
perhaps,Angry
other,Angry
girls,Angry
office,Angry
nice,Angry
short,Angry
hair,Angry
rebellious,Angry
type,Sad
celebrates,Sad
eid,Sad
might,Happy
car,Happy
wash,Happy
generous,Happy
sleep,Sad
deprived,Sad
sleeping,Sad
through,Sad
night,Sad
giving,Sad
really,Angry
right,Angry
now,Angry
bloging,Happy
sitting,Happy
amp,Happy
cat,Happy
etc,Happy
lucky,Happy
started,Excited
then,Excited
friday,Excited
woke,Excited
up,Excited
sick,Excited
dog,Excited
protect,Sad
parents,Sad
against,Sad
witch,Sad
hunt,Sad
repressed,Sad
memory,Sad
therapy,Sad
disgusted,Angry
even,Angry
associated,Angry
woman,Angry
by,Angry
race,Angry
nationality,Angry
laughed,Angry
then,Angry
bitterly,Angry
again,Angry
wasnt,Angry
couldn,Sad
thought,Sad
wished,Sad
could,Sad
there,Sad
each,Sad
knew,Sad
however,Sad
hated,Sad
first,Sad
experience,Sad
would,Sad
remember,Sad
forever,Sad
quite,Happy
mellow,Happy
soft,Happy
easy,Happy
wear,Happy
beginning,Happy
cold,Happy
told,Fearful
maybe,Fearful
need,Fearful
time,Fearful
how,Fearful
ive,Fearful
indecisive,Fearful
lately,Fearful
genre,Happy
disservice,Happy
resolved,Happy
artifically,Happy
artistic,Happy
mood,Happy
manitz,Happy
draw,Happy
circle,Happy
dot,Happy
bigger,Happy
line,Happy
accent,Happy
mark,Happy
spanish,Happy
pissed,Happy
really,Fearful
brazil,Fearful
bus,Fearful
going,Fearful
up,Fearful
steep,Fearful
mountain,Fearful
hills,Fearful
middle,Fearful
big,Fearful
storm,Fearful
wondering,Fearful
fall,Fearful
whimper,Sad
unloved,Sad
uncared,Sad
im,Excited
certainly,Excited
going,Excited
sit,Excited
tell,Excited
whats,Excited
personal,Excited
life,Excited
ever,Excited
curious,Excited
about,Excited
all,Excited
youd,Excited
watch,Excited
show,Excited
sorry,Excited
there,Excited
wasnt,Excited
humor,Excited
post,Excited
foot,Happy
door,Happy
world,Happy
walking,Happy
trails,Happy
fells,Happy
mountains,Happy
whatever,Angry
comes,Angry
mind,Angry
tell,Angry
directly,Angry
jealous,Angry
girl,Angry
m,Angry
insecure,Angry
love,Angry
person,Angry
trust,Angry
worthy,Angry
friend,Angry
sweet,Angry
one,Angry
strange,Fearful
coming,Fearful
back,Fearful
after,Fearful
one,Fearful
day,Fearful
holiday,Fearful
clearly,Angry
influenced,Angry
dash,Angry
happiness,Angry
emily,Angry
dickinson,Angry
example,Angry
use,Angry
dashes,Angry
instead,Angry
colons,Angry
semi,Angry
enhance,Angry
feelings,Angry
enjambment,Angry
sonnet,Angry
fatter,Sad
only,Sad
thing,Sad
life,Sad
remain,Sad
control,Sad
whether,Sad
eat,Sad
peanut,Sad
butter,Sad
bread,Sad
home,Sad
impossible,Sad
day,Sad
world,Sad
looking,Sad
third,Sad
hell,Sad
needy,Sad
neglected,Sad
girls,Sad
could,Angry
claim,Angry
redeem,Angry
genre,Angry
didn,Angry
leave,Angry
point,Angry
beating,Angry
head,Angry
against,Angry
wall,Angry
either,Angry
sad,Sad
im,Fearful
classes,Fearful
intimidated,Fearful
concept,Fearful
lit,Fearful
groggy,Sad
up,Sad
routine,Sad
son,Sad
view,Happy
isnt,Happy
thats,Happy
fine,Happy
want,Excited
hold,Excited
shocked,Excited
awe,Excited
wonder,Excited
forever,Excited
heard,Fearful
rumour,Fearful
st,Fearful
exam,Fearful
results,Fearful
fear,Fearful
failures,Fearful
valued,Happy
appreciated,Happy
love,Happy
arent,Happy
anywhere,Happy
nature,Happy
relationship,Happy
changes,Happy
days,Angry
which,Angry
distracted,Angry
regularly,Happy
relaxing,Happy
music,Happy
invigorated,Happy
afterward,Happy
tend,Angry
practice,Angry
eyes,Angry
shut,Angry
possible,Angry
w,Happy
youtube,Happy
influences,Happy
trends,Happy
specifically,Fearful
wanted,Fearful
tango,Fearful
shy,Fearful
maks,Fearful
opposite,Fearful
hard,Fearful
get,Fearful
far,Fearful
enough,Fearful
away,Fearful
from,Fearful
good,Fearful
pics,Fearful
lol,Fearful
also,Fearful
weird,Fearful
sleeping,Fearful
slept,Fearful
hers,Fearful
okay,Sad
thinking,Sad
earlier,Sad
today,Sad
heres,Sad
cooped,Sad
amp,Sad
restless,Sad
made,Sad
weight,Happy
fit,Happy
tiny,Happy
unable,Happy
didnt,Happy
bit,Happy
miss,Happy
presence,Happy
fan,Sad
current,Sad
president,Sad
conservative,Sad
will,Excited
enclose,Excited
verses,Excited
could,Excited
weigh,Excited
much,Excited
thinking,Excited
hear,Excited
odd,Excited
complacent,Happy
vulnerable,Fearful
alone,Fearful
remember,Happy
thinking,Happy
example,Happy
parenting,Happy
one,Sad
punished,Sad
stupid,Sad
chastised,Sad
behaving,Sad
much,Happy
stay,Happy
same,Happy
there,Happy
simply,Happy
contented,Happy
saying,Happy
cut,Happy
everyone,Happy
comfort,Happy
solitude,Happy
meditation,Happy
working,Happy
projects,Happy
stupid,Fearful
nervous,Fearful
by,Happy
act,Excited
god,Excited
work,Excited
bird,Happy
flying,Happy
air,Happy
carefree,Happy
manner,Happy
revise,Angry
replies,Angry
over,Angry
sure,Angry
reply,Angry
sounds,Angry
appropriate,Angry
enough,Angry
who,Angry
receive,Angry
will,Angry
offended,Angry
felt,Sad
friend,Sad
mine,Sad
died,Sad
irrevocably,Sad
gone,Sad
alex,Sad
matt,Sad
regretful,Sad
visit,Sad
educating,Happy
families,Happy
supporting,Happy
educationg,Happy
mamas,Happy
papas,Happy
key,Happy
lost,Angry
everyone,Angry
hostile,Angry
toward,Angry
hate,Angry
boring,Sad
sewing,Sad
makes,Sad
since,Sad
easy,Sad
nothing,Sad
say,Sad
them,Sad
fabric,Sad
usage,Sad
liked,Happy
original,Happy
fragrance,Happy
freshen,Happy
lightly,Happy
scent,Happy
underwear,Happy
drawer,Happy
gorgeously,Happy
glamorous,Happy
girly,Happy
man,Happy
things,Excited
around,Excited
reason,Happy
apart,Happy
others,Happy
lives,Happy
become,Happy
push,Happy
succeed,Happy
successful,Happy
all,Fearful
guess,Fearful
far,Happy
whatever,Happy
wounding,Happy
process,Happy
may,Happy
underway,Happy
wonder,Fearful
sometimes,Fearful
whether,Fearful
added,Fearful
antagonism,Fearful
misunderstanding,Fearful
many,Fearful
towards,Fearful
those,Fearful
us,Fearful
who,Fearful
reluctant,Fearful
wholeheartedly,Fearful
support,Fearful
traditional,Fearful
armistice,Fearful
remembrances,Fearful
legs,Sad
few,Sad
miles,Sad
come,Sad
know,Fearful
its,Fearful
unfair,Fearful
reaction,Fearful
run,Fearful
ways,Fearful
explain,Fearful
best,Fearful
come,Fearful
right,Fearful
blessed,Happy
amazing,Happy
abused,Sad
maligned,Sad
nervous,Sad
anticipating,Sad
danger,Sad
pretty,Fearful
restless,Fearful
typing,Fearful
gosman,Happy
touristy,Happy
montauk,Happy
area,Happy
infrequent,Happy
visitors,Happy
head,Happy
harbor,Happy
cawing,Happy
seagulls,Happy
lapping,Happy
water,Happy
against,Happy
wood,Happy
pilings,Happy
breeze,Happy
admit,Sad
hilarious,Sad
e,Sad
cards,Sad
seriously,Sad
exactly,Sad
how,Sad
any,Sad
moment,Sad
start,Sad
hy,Sad
wrote,Sad
last,Sad
dull,Sad
inarticulate,Sad
normal,Sad
kick,Angry
myself,Angry
into,Angry
gear,Angry
irritable,Angry
no,Angry
motivation,Angry
innocent,Happy
illustrating,Happy
satisfaction,Happy
longer,Happy
contributing,Happy
looter,Happy
driven,Happy
consumerism,Happy
corpse,Happy
america,Happy
revered,Happy
younger,Happy
start,Angry
resentful,Angry
will,Sad
spend,Sad
vacation,Sad
obligations,Sad
headaches,Sad
emotional,Sad
blackmailed,Sad
three,Sad
places,Sad
once,Sad
herpes,Excited
coming,Excited
would,Excited
point,Excited
make,Excited
out,Excited
again,Excited
after,Excited
checkup,Excited
clinic,Excited
wednesday,Excited
everyday,Angry
worked,Happy
hard,Happy
year,Happy
try,Happy
class,Happy
disheartened,Sad
bitchy,Angry
upon,Angry
retrospect,Angry
wouldn,Angry
trying,Angry
shake,Angry
off,Angry
second,Happy
guess,Happy
terrible,Happy
making,Happy
definitive,Happy
decisions,Happy
certain,Happy
truths,Happy
eggs,Happy
benedict,Happy
ll,Happy
equally,Happy
delicious,Happy
way,Happy
summery,Happy
elements,Happy
favorite,Happy
past,Happy
beach,Happy
bummin,Happy
smiled,Happy
continue,Sad
define,Sad
discover,Sad
amsterdam,Sad
whenever,Sad
pang,Sad
blank,Sad
sickness,Sad
line,Sad
missing,Sad
cultural,Sad
mindset,Sad
american,Sad
city,Sad
which,Sad
arcade,Happy
simple,Happy
purpose,Happy
absolutely,Happy
comfortable,Happy
physically,Happy
practically,Happy
sympathetic,Happy
hopped,Happy
tube,Happy
ride,Happy
eye,Happy
london,Happy
online,Sad
see,Sad
another,Sad
ignored,Sad
monitoring,Angry
come,Angry
across,Angry
any,Angry
blogs,Angry
please,Angry
stop,Angry
here,Angry
weird,Excited
cancer,Excited
one,Excited
time,Excited
maybe,Happy
theres,Happy
chance,Happy
joy,Happy
dreams,Happy
come,Happy
true,Happy
cranky,Angry
puzzling,Happy
after,Happy
particular,Happy
administrator,Happy
singled,Happy
praise,Happy
ability,Happy
students,Happy
ssr,Happy
productive,Happy
tried,Happy
fill,Happy
befriending,Happy
knew,Happy
using,Happy
care,Happy
needed,Happy
loser,Happy
cramp,Sad
slept,Happy
peace,Happy
within,Happy
external,Happy
learned,Sad
takes,Sad
lot,Sad
effort,Sad
positive,Sad
break,Sad
down,Sad
tears,Sad
exhausted,Sad
guilty,Sad
better,Sad
mom,Sad
awful,Sad
hung,Sad
baby,Sad
before,Sad
pain,Sad
sleep,Happy
giving,Happy
else,Happy
neglecting,Happy
beloved,Happy
shalt,Happy
cos,Happy
din,Happy
thing,Happy
wrote,Happy
hw,Happy
keen,Happy
xxx,Happy
edge,Fearful
precipice,Fearful
staring,Fearful
ahead,Fearful
totally,Sad
now,Sad
months,Sad
front,Sad
uni,Sad
free,Sad
advocates,Angry
can,Angry
live,Angry
die,Angry
through,Angry
lobbying,Angry
supporting,Angry
those,Angry
politicians,Angry
sympathic,Angry
views,Angry
if,Sad
some,Sad
still,Angry
paying,Angry
attention,Angry
third,Happy
block,Happy
hot,Happy
tingly,Happy
knowing,Happy
five,Happy
hours,Happy
examination,Happy
ahead,Happy
having,Happy
hesitant,Happy
suggestions,Happy
outcome,Happy
sincere,Happy
terribly,Happy
fond,Happy
majority,Happy
precise,Happy
gaining,Sad
damaged,Sad
goods,Sad
aspects,Sad
personal,Sad
security,Sad
bombed,Happy
interview,Happy
fan,Happy
freaking,Happy
tastic,Happy
kind,Happy
taken,Happy
build,Happy
inventory,Happy
sauces,Happy
oils,Happy
spices,Happy
non,Happy
perishables,Happy
specifically,Happy
